barcode,n_processed_fastq,sample_id
barcode01,260,3D7_mpi
barcode02,259,3D7
barcode03,257,Dd2
barcode04,258,HB3
barcode05,256,human
barcode06,213,NTC
barcode07,259,8032583
barcode08,257,8032034
barcode09,259,8031772
barcode10,258,8032335
barcode11,258,8032594
barcode12,256,8010560
barcode13,259,8032005
barcode14,258,8032527
barcode15,259,8010527
barcode16,258,8032350
barcode17,258,8032006
barcode18,258,8010538
barcode19,256,8032052
barcode20,258,8032526
barcode21,258,8010554
barcode22,259,8031764
barcode23,258,8010571
barcode24,258,8032043
barcode25,258,8032571
barcode26,259,8032593
barcode27,260,8010509
barcode28,258,8031773
barcode29,257,8031762
barcode30,256,8032324
barcode31,259,8031767
barcode32,2,8031766
barcode33,257,8032026
barcode34,256,8032055
barcode35,257,8032541
barcode36,256,8032265
barcode37,256,8010529
barcode38,257,8032347
barcode39,259,8032558
barcode40,259,8032001
barcode41,258,8010537
barcode42,257,8010533
barcode43,259,8032320
barcode44,257,8032309
barcode45,260,8010561
barcode46,258,8032313
barcode47,258,8031811
barcode48,257,8033071
barcode49,256,8032014
barcode50,257,8010549
barcode51,256,8032305
barcode52,258,8010517
barcode53,257,8031792
barcode54,256,8010508
barcode55,256,8032579
barcode56,257,8031806
barcode57,257,8031765
barcode58,257,8032277
barcode59,256,8032580
barcode60,257,8032017
barcode61,259,8010558
barcode62,256,8032292
barcode63,258,8031795
barcode64,258,8032041
barcode65,258,8032585
barcode66,256,8032503
barcode73,217,PCR-NTC_a
barcode74,225,PCR-NTC_b
unclassified,262,unclassified
