sample_id,extraction_id,extraction_date,notes
8010683,Z001,04.12.25,
8034059,Z002,04.12.25,
8012421,Z003,04.12.25,
8032055,Z004,04.12.25,
5053837,Z005,04.12.25,
8013476,Z006,04.12.25,
8022279,Z007,04.12.25,
1012556,Z008,04.12.25,
8023679,Z009,04.12.25,
1012424,Z010,04.12.25,
1046680,Z011,04.12.25,
8034050,Z012,04.12.25,
8023299,Z013,04.12.25,
1046674,Z014,04.12.25,
8034017,Z015,04.12.25,
8013498,Z016,04.12.25,
8031277,Z017,04.12.25,
1012426,Z018,04.12.25,
8033412,Z019,04.12.25,
8034025,Z020,04.12.25,
8034028,Z021,04.12.25,
8034053,Z022,04.12.25,
8022819,Z023,05.12.25,
8023430,Z024,05.12.25,
8021935,Z025,05.12.25,
8023320,Z026,05.12.25,
8032347,Z027,05.12.25,
8034030,Z028,05.12.25,
5053740,Z029,05.12.25,
8019456,Z030,05.12.25,
8031527,Z031,05.12.25,
8031773,Z032,05.12.25,
8021039,Z033,05.12.25,
8034002,Z034,05.12.25,
8032343,Z035,05.12.25,
1046719,Z036,05.12.25,
8021930,Z037,05.12.25,
8034031,Z038,05.12.25,
8023351,Z039,05.12.25,
1012542,Z040,05.12.25,
1012420,Z041,05.12.25,
8034036,Z042,05.12.25,
5053742,Z043,05.12.25,
8023442,Z044,05.12.25,
8031771,Z045,08.12.25,
8011963,Z046,08.12.25,
8031271,Z047,08.12.25,
1046689,Z048,08.12.25,
8031566,Z049,08.12.25,
8033415,Z050,08.12.25,
8031770,Z051,08.12.25,
8034016,Z052,08.12.25,
8032543,Z053,08.12.25,
8034019,Z054,08.12.25,
1046720,Z055,08.12.25,
8033426,Z056,08.12.25,
1046678,Z057,08.12.25,
1046675,Z058,08.12.25,
1046718,Z059,08.12.25,
1046728,Z060,08.12.25,
1046677,Z061,08.12.25,
8034026,Z062,08.12.25,
8034024,Z063,08.12.25,
1046705,Z064,08.12.25,
8032579,Z065,08.12.25,
8032594,Z066,08.12.25,
8031769,Z067,08.12.25,
8032595,Z068,08.12.25,
8032589,Z069,08.12.25,
8031765,Z070,08.12.25,
8032583,Z071,08.12.25,
8031761,Z072,08.12.25,
8031523,Z073,08.12.25,
8013555,Z074,08.12.25,
8032037,Z075,08.12.25,
8031324,Z076,08.12.25,
8031512,Z077,08.12.25,
8022315,Z078,08.12.25,
8013676,Z079,08.12.25,
8013686,Z080,08.12.25,
8033342,Z081,08.12.25,
8033344,Z082,08.12.25,
8033355,Z083,08.12.25,
8033369,Z084,08.12.25,
8033385,Z085,08.12.25,
8010843,Z086,08.12.25,
8013681,Z087,08.12.25,
8034014,Z088,08.12.25,
8034015,Z089,08.12.25,
8034010,Z090,08.12.25,
8034037,Z091,09.12.25,
8032000,Z092,09.12.25,
8031811,Z093,09.12.25,
8031772,Z094,09.12.25,
8032003,Z095,09.12.25,
8032034,Z096,09.12.25,
8031774,Z097,09.12.25,
8032032,Z098,09.12.25,
8032012,Z099,09.12.25,
8032013,Z100,09.12.25,
8034060,Z101,09.12.25,
8034045,Z102,09.12.25,
8034044,Z103,09.12.25,
8034039,Z104,09.12.25,
8034043,Z105,09.12.25,
8034042,Z106,09.12.25,
8034040,Z107,09.12.25,
8034048,Z108,09.12.25,DBS punch of 8034048 was not in the tube. Replaced with sample 8023250.
8034052,Z109,09.12.25,
