barcode,n_processed_fastq,sample_id
barcode01,15,3D7
barcode02,15,Dd2
barcode03,15,HB3
barcode04,15,IPC3663
barcode05,15,Human
barcode06,15,NTC
barcode07,15,1023530
barcode08,15,1023529
barcode09,15,1023531
barcode10,15,1023532
barcode11,15,1023580
barcode12,15,1023581
barcode13,15,1023585
barcode14,15,1023584
barcode15,15,1023555
barcode16,15,1023509
barcode17,15,1023564
barcode18,15,1023569
barcode19,15,1023568
barcode20,15,1023583
barcode21,15,1023553
barcode22,15,3031049
barcode23,15,3031048
barcode24,15,1023595
barcode25,15,1023597
barcode26,15,1023598
barcode27,15,1023599
barcode28,15,1023544
barcode29,15,1023547
barcode30,15,1023550
barcode31,15,1023548
barcode32,15,1023549
barcode33,15,1021432
barcode34,15,1021372
barcode35,15,1021367
barcode36,15,1021365
barcode37,15,1021364
barcode38,15,1021444
barcode39,15,1021446
barcode40,15,1021437
barcode41,15,1021436
barcode42,15,3031046
barcode43,15,3031037
barcode44,15,3031040
barcode45,15,3031042
barcode46,15,3031045
barcode47,15,3030994
barcode48,15,3030995
barcode49,15,3030996
barcode50,15,3030997
barcode51,15,3030999
barcode52,15,3030980
barcode53,15,3030988
barcode54,15,3030987
barcode55,15,3031002
barcode56,15,3030964
barcode57,15,3031008
barcode58,15,3031012
barcode59,15,3031011
barcode60,15,3031014
barcode61,15,3030982
barcode62,15,3030984
barcode63,15,3030968
barcode64,15,3030966
barcode65,15,3031031
barcode66,15,3030991
barcode67,15,3030990
barcode68,15,3031033
barcode69,15,3031032
barcode70,15,3031023
barcode71,15,3030951
barcode72,15,3030952
barcode73,15,3030963
barcode74,15,3030961
barcode75,15,3031017
barcode76,15,3031020
unclassified,15,unclassified
